"","Date","EntryTime","ExitTime","Direction","EntryPrice","ExecEntryPrice","ExitPrice","ExecExitPrice","StopPrice","R","Shares","NotionalPosition","MarginUsed","GrossPnL","Commission","NetPnL","ExitReason","CapitalBefore","CapitalAfter","R_Multiple"
"78",18662,2021-02-04 14:35:00,2021-02-04 17:35:00,"Short",327.5,327.48020111872,328.60501,328.616808430394,328.60501,1.10500999999999,750,245625,24562.5,-852.455483755733,1.5,-853.955483755733,"SL",82900.2986751956,82046.3431914398,-1.03040453179095
"79",18663,2021-02-05 14:35:00,2021-02-05 17:15:00,"Short",330.359985,330.334516604665,331.309997,331.324549407875,331.309997,0.950012000000015,863,285100.667055,28510.0667055,-854.398309170278,1.726,-856.124309170278,"SL",82046.3431914398,81190.2188822696,-1.04423186571332
"80",18666,2021-02-08 14:35:00,2021-02-08 15:00:00,"Short",332.75,332.735189509469,333.269989,333.297606204672,333.269989,0.51998900000001,1561,519422.75,51942.275,-877.932461212612,3.122,-881.054461212612,"SL",81190.2188822696,80309.164421057,-1.08543968276917
"81",18667,2021-02-09 14:35:00,2021-02-09 20:55:00,"Long",333.359985,333.379611653663,333.48999,333.479455512598,332.609985,0.75,1070,356695.18395,35669.518395,106.832929059784,2.14,104.692929059784,"Timed",80309.164421057,80413.8573501167,0.13045847857917
"82",18668,2021-02-10 14:35:00,2021-02-10 20:55:00,"Short",334.75,334.736019600433,332.73001,332.751377366523,335.459991,0.709991000000002,1132,378937,37893.7,2246.61500878624,2.264,2244.35100878624,"Timed",80413.8573501167,82658.208358903,2.79248924832864
"83",18669,2021-02-11 14:35:00,2021-02-11 14:35:00,"Long",334.359985,334.374159461259,334.290008,334.281367154128,334.290008,0.0699769999999944,2472,826537.88292,82653.788292,-229.382583227531,4.944,-234.326583227531,"SL",82658.208358903,82423.8817756754,-1.35462090588173
"84",18670,2021-02-12 14:35:00,2021-02-12 14:40:00,"Short",333,332.980737224797,333.829986,333.844345795017,333.829986,0.829986000000019,993,330669,33066.9,-857.563310228215,1.986,-859.549310228215,"SL",82423.8817756754,81564.3324654472,-1.04291948324397
"85",18674,2021-02-16 14:35:00,2021-02-16 14:35:00,"Long",337.320892,337.343681761588,336.890014,336.871797518716,336.890014,0.430878000000007,1892,638211.127664,63821.1127664,-892.804987513543,3.784,-896.588987513543,"SL",81564.3324654472,80667.7434779337,-1.09981071874601
"86",18675,2021-02-17 14:35:00,2021-02-17 14:35:00,"Short",332.350006,332.305867527536,332.880004,332.897576810841,332.880004,0.529997999999978,1522,505836.709132,50583.6709132,-900.581529189638,3.044,-903.625529189638,"SL",80667.7434779337,79764.117948744,-1.12021042212357
"87",18676,2021-02-18 14:35:00,2021-02-18 15:05:00,"Long",330.380004,330.402575414777,329.690002,329.672066973734,329.690002,0.690001999999993,1155,381588.90462,38158.890462,-843.73724940501,2.31,-846.04724940501,"SL",79764.117948744,78918.070699339,-1.06160335918346
"88",18677,2021-02-19 14:35:00,2021-02-19 16:25:00,"Short",333.309997,333.262802493597,333.820007,333.844829870494,333.820007,0.510009999999966,1547,515630.565359,51563.0565359,-900.396352060235,3.094,-903.490352060235,"SL",78918.070699339,78014.5803472788,-1.14512926589167
"89",18680,2021-02-22 14:35:00,2021-02-22 14:35:00,"Short",326.220001,326.179771983816,327.149993,327.188919063861,327.149993,0.92999199999997,838,273372.360838,27337.2360838,-845.665253077195,1.676,-847.341253077195,"SL",78014.5803472788,77167.2390942016,-1.08726427758993
"90",18681,2021-02-23 14:35:00,2021-02-23 15:20:00,"Short",315.429992,315.397691224437,317.010009,317.038401416526,317.010009,1.580017,488,153929.836096,15392.9836096,-800.666573739648,0.976,-801.642573739648,"SL",77167.2390942016,76365.596520462,-1.03967880857576
"91",18682,2021-02-24 14:35:00,2021-02-24 14:35:00,"Long",319.019989,319.030780783472,318.5,318.486885482585,318.5,0.51998900000001,1468,468321.343852,46832.1343852,-798.438301701638,2.936,-801.374301701639,"SL",76365.596520462,75564.2222187603,-1.04982086330031
"92",18683,2021-02-25 14:35:00,2021-02-25 15:00:00,"Long",322.994995,323.035066803899,321.5,321.48773219566,321.5,1.49499500000002,505,163112.472475,16311.2472475,-781.40397716078,1.01,-782.41397716078,"SL",75564.2222187603,74781.8082415995,-1.03634768560373
"93",18684,2021-02-26 14:35:00,2021-02-26 14:50:00,"Long",316.059997,316.094290967566,315.260009,315.235926887968,315.260009,0.799987999999985,934,295200.037198,29520.0037198,-801.712050345333,1.868,-803.580050345333,"SL",74781.8082415995,73978.2281912542,-1.07547123156707
